requisition_id,department,country,job_family,seniority_level,open_date,close_date,days_to_fill,candidates_screened,candidates_interviewed,hired_employee_id,source
REQ-00001,Engineering,Danmark,Individual Contributor,Junior,2023-02-07,2023-04-20,72,148,13,EMP-00001,Agency
REQ-00002,R&D,Danmark,Individual Contributor,Mid,2022-10-12,2022-11-27,46,39,13,EMP-00004,LinkedIn
REQ-00003,Operations,Sverige,Specialist,Mid,2022-05-02,2022-06-12,41,80,14,EMP-00006,Referral
REQ-00004,Engineering,Sverige,Individual Contributor,Junior,2023-04-21,2023-07-12,82,52,10,EMP-00009,Job Board
REQ-00005,Sales,Norge,Individual Contributor,Junior,2024-09-15,2024-10-05,20,98,4,EMP-00011,LinkedIn
REQ-00006,Engineering,Tyskland,Individual Contributor,Junior,2024-06-02,2024-07-22,50,108,3,EMP-00018,Referral
REQ-00007,Engineering,Norge,Individual Contributor,Mid,2022-11-14,2023-01-11,58,81,15,EMP-00022,LinkedIn
REQ-00008,Engineering,Norge,Individual Contributor,Junior,2023-08-19,2023-09-21,33,31,12,EMP-00033,Job Board
REQ-00009,R&D,Sverige,Individual Contributor,Junior,2023-11-21,2023-12-16,25,142,3,EMP-00034,LinkedIn
REQ-00010,Operations,Norge,Individual Contributor,Mid,2023-06-23,2023-08-11,49,61,14,EMP-00035,LinkedIn
REQ-00011,Sales,Norge,Individual Contributor,Junior,2023-02-11,2023-03-10,27,63,12,EMP-00036,Referral
REQ-00012,Operations,Finland,Individual Contributor,Mid,2022-07-18,2022-09-14,58,59,10,EMP-00037,LinkedIn
REQ-00013,Customer Support,Tyskland,Individual Contributor,Junior,2022-12-12,2023-01-06,25,134,13,EMP-00038,Agency
REQ-00014,R&D,Sverige,Individual Contributor,Junior,2024-03-30,2024-06-03,65,91,7,EMP-00045,Job Board
REQ-00015,Engineering,Norge,Individual Contributor,Junior,2024-11-26,2024-12-10,14,119,6,EMP-00051,Job Board
